#SequenceID	AAtype	Start	Stop	Score
>YAL013W DEP1 SGDID:S000000011, Chr I from 129270-130487, Genome Release 64-2-1, Verified ORF, "Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	E	2	161	139
>YAL014C SYN8 SGDID:S000000012, Chr I from 129019-128252, Genome Release 64-2-1, reverse complement, Verified ORF, "Endosomal SNARE related to mammalian syntaxin 8"	Q	83	173	61
>YAL014C SYN8 SGDID:S000000012, Chr I from 129019-128252, Genome Release 64-2-1, reverse complement, Verified ORF, "Endosomal SNARE related to mammalian syntaxin 8"	L	239	255	47
>YAL014C SYN8 SGDID:S000000012, Chr I from 129019-128252, Genome Release 64-2-1, reverse complement, Verified ORF, "Endosomal SNARE related to mammalian syntaxin 8"	N	192	237	45
>YAL016W TPD3 SGDID:S000000014, Chr I from 124879-126786, Genome Release 64-2-1, Verified ORF, "Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"	S	2	35	51
>YAL017W PSK1 SGDID:S000000015, Chr I from 120225-124295, Genome Release 64-2-1, Verified ORF, "PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"	S	883	1055	73
>YAL017W PSK1 SGDID:S000000015, Chr I from 120225-124295, Genome Release 64-2-1, Verified ORF, "PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"	S	5	236	68
>YAL017W PSK1 SGDID:S000000015, Chr I from 120225-124295, Genome Release 64-2-1, Verified ORF, "PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"	S	589	679	59
>YAL019W FUN30 SGDID:S000000017, Chr I from 114919-118314, Genome Release 64-2-1, Verified ORF, "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"	D	393	533	172
>YAL019W FUN30 SGDID:S000000017, Chr I from 114919-118314, Genome Release 64-2-1, Verified ORF, "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"	S	2	442	69
>YAL019W FUN30 SGDID:S000000017, Chr I from 114919-118314, Genome Release 64-2-1, Verified ORF, "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"	N	411	427	56
>YAL019W FUN30 SGDID:S000000017, Chr I from 114919-118314, Genome Release 64-2-1, Verified ORF, "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"	D	248	269	46
>YAL019W FUN30 SGDID:S000000017, Chr I from 114919-118314, Genome Release 64-2-1, Verified ORF, "Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"	E	434	520	43
>YAL021C CCR4 SGDID:S000000019, Chr I from 113359-110846, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	N	56	108	134
>YAL021C CCR4 SGDID:S000000019, Chr I from 113359-110846, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	Q	169	206	63
>YAL021C CCR4 SGDID:S000000019, Chr I from 113359-110846, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	Q	15	45	53
>YAL022C FUN26 SGDID:S000000020, Chr I from 110430-108877, Genome Release 64-2-1, reverse complement, Verified ORF, "High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"	E	24	62	55
>YAL023C PMT2 SGDID:S000000021, Chr I from 108551-106272, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication"	S	2	58	56
>YAL024C LTE1 SGDID:S000000022, Chr I from 105872-101565, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures"	S	193	1154	225
>YAL025C MAK16 SGDID:S000000023, Chr I from 101145-100225, Genome Release 64-2-1, reverse complement, Verified ORF, "Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"	E	128	303	149
>YAL025C MAK16 SGDID:S000000023, Chr I from 101145-100225, Genome Release 64-2-1, reverse complement, Verified ORF, "Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"	S	239	283	51
>YAL028W FRT2 SGDID:S000000026, Chr I from 92900-94486, Genome Release 64-2-1, Verified ORF, "Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"	S	207	357	141
>YAL028W FRT2 SGDID:S000000026, Chr I from 92900-94486, Genome Release 64-2-1, Verified ORF, "Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"	H	70	90	40
>YAL030W SNC1 SGDID:S000000028, Chr I from 87286-87387,87501-87752, Genome Release 64-2-1, Verified ORF, "Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication"	I	94	113	42
>YAL031C GIP4 SGDID:S000000029, Chr I from 87031-84749, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"	S	442	652	156
>YAL034C FUN19 SGDID:S000002134, Chr I from 81951-80710, Genome Release 64-2-1, reverse complement, Verified ORF, "Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication"	N	14	77	82
>YAL035W FUN12 SGDID:S000000033, Chr I from 76427-79435, Genome Release 64-2-1, Verified ORF, "Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2"	E	3	377	350
>YAL035W FUN12 SGDID:S000000033, Chr I from 76427-79435, Genome Release 64-2-1, Verified ORF, "Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2"	K	67	303	228
>YAL040C CLN3 SGDID:S000000038, Chr I from 67520-65778, Genome Release 64-2-1, reverse complement, Verified ORF, "G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetly-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry."	S	336	575	109
>YAL041W CDC24 SGDID:S000000039, Chr I from 62840-65404, Genome Release 64-2-1, Verified ORF, "Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress"	S	519	779	182
>YAL041W CDC24 SGDID:S000000039, Chr I from 62840-65404, Genome Release 64-2-1, Verified ORF, "Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress"	S	69	140	47
>YAL043C PTA1 SGDID:S000000041, Chr I from 61052-58695, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"	S	301	625	105
>YAL043C PTA1 SGDID:S000000041, Chr I from 61052-58695, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"	E	496	556	62
>YAL047C SPC72 SGDID:S000000045, Chr I from 56857-54989, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the cytoplasmic Tub4p (gamma-tubulin) complex; binds spindle pole bodies and links them to microtubules; is regulated by Cdc5 kinase; has roles in astral microtubule formation and stabilization"	E	163	432	63
>YAL053W FLC2 SGDID:S000000049, Chr I from 45899-48250, Genome Release 64-2-1, Verified ORF, "Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"	S	674	780	75
>YAL053W FLC2 SGDID:S000000049, Chr I from 45899-48250, Genome Release 64-2-1, Verified ORF, "Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"	N	758	780	50
>YAL053W FLC2 SGDID:S000000049, Chr I from 45899-48250, Genome Release 64-2-1, Verified ORF, "Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"	F	348	370	42
>YAL056W GPB2 SGDID:S000000052, Chr I from 39259-41901, Genome Release 64-2-1, Verified ORF, "Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication"	S	625	669	41
>YAL059W ECM1 SGDID:S000000055, Chr I from 36509-37147, Genome Release 64-2-1, Verified ORF, "Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm"	K	18	100	49
>YAL063C FLO9 SGDID:S000000059, Chr I from 27968-24000, Genome Release 64-2-1, reverse complement, Verified ORF, "Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"	T	230	1296	1308
>YAL063C FLO9 SGDID:S000000059, Chr I from 27968-24000, Genome Release 64-2-1, reverse complement, Verified ORF, "Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"	S	860	1311	209
>YAL064W-B YAL064W-B SGDID:S000002141, Chr I from 12046-12426, Genome Release 64-2-1, Uncharacterized ORF, "Fungal-specific protein of unknown function"	V	16	118	78
>YAL065C YAL065C SGDID:S000001817, Chr I from 11951-11565, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; has homology to FLO1; possible pseudogene"	S	2	101	89
>YAL065C YAL065C SGDID:S000001817, Chr I from 11951-11565, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; has homology to FLO1; possible pseudogene"	T	3	48	53
>YAR002W NUP60 SGDID:S000000063, Chr I from 152257-153876, Genome Release 64-2-1, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153"	S	4	508	180
>YAR003W SWD1 SGDID:S000000064, Chr I from 155005-156285, Genome Release 64-2-1, Verified ORF, "Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"	E	356	388	67
>YAR007C RFA1 SGDID:S000000065, Chr I from 158619-156754, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia"	N	114	182	48
>YAR009C YAR009C SGDID:S000000067, Chr I from 164187-160597, Genome Release 64-2-1, reverse complement, transposable_element_gene, "Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress"	S	355	644	91
>YAR010C YAR010C SGDID:S000000068, Chr I from 165866-164544, Genome Release 64-2-1, reverse complement, transposable_element_gene, "Retrotransposon TYA Gag gene co-transcribed with TYB Pol; in YARCTY1-1 TYB is mutant and probably non-functional"	S	2	167	77
>YAR010C YAR010C SGDID:S000000068, Chr I from 165866-164544, Genome Release 64-2-1, reverse complement, transposable_element_gene, "Retrotransposon TYA Gag gene co-transcribed with TYB Pol; in YARCTY1-1 TYB is mutant and probably non-functional"	N	348	432	65
>YAR014C BUD14 SGDID:S000000069, Chr I from 168871-166742, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"	S	2	683	162
>YAR014C BUD14 SGDID:S000000069, Chr I from 168871-166742, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"	E	111	251	91
>YAR014C BUD14 SGDID:S000000069, Chr I from 168871-166742, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"	D	391	448	52
>YAR019C CDC15 SGDID:S000000072, Chr I from 175135-172211, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress"	S	540	609	52
>YAR020C PAU7 SGDID:S000000073, Chr I from 177023-176856, Genome Release 64-2-1, reverse complement, Verified ORF, "Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"	A	5	29	40
>YAR027W UIP3 SGDID:S000000075, Chr I from 183770-184477, Genome Release 64-2-1, Verified ORF, "Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family"	I	51	114	61
>YAR028W YAR028W SGDID:S000000076, Chr I from 184892-185596, Genome Release 64-2-1, Uncharacterized ORF, "Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"	I	51	92	46
>YAR028W YAR028W SGDID:S000000076, Chr I from 184892-185596, Genome Release 64-2-1, Uncharacterized ORF, "Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"	S	165	202	44
>YAR042W SWH1 SGDID:S000000081, Chr I from 192619-196185, Genome Release 64-2-1, Verified ORF, "Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OSH2, that arose from the whole genome duplication"	D	433	546	118
>YAR042W SWH1 SGDID:S000000081, Chr I from 192619-196185, Genome Release 64-2-1, Verified ORF, "Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OSH2, that arose from the whole genome duplication"	N	408	463	92
>YAR042W SWH1 SGDID:S000000081, Chr I from 192619-196185, Genome Release 64-2-1, Verified ORF, "Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OSH2, that arose from the whole genome duplication"	E	630	756	87
>YAR042W SWH1 SGDID:S000000081, Chr I from 192619-196185, Genome Release 64-2-1, Verified ORF, "Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OSH2, that arose from the whole genome duplication"	E	1111	1158	40
>YAR050W FLO1 SGDID:S000000084, Chr I from 203403-208016, Genome Release 64-2-1, Verified ORF, "Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; FLO1 has a paralog, FLO5, that arose from a segmental duplication"	T	259	1511	1576
>YAR050W FLO1 SGDID:S000000084, Chr I from 203403-208016, Genome Release 64-2-1, Verified ORF, "Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; FLO1 has a paralog, FLO5, that arose from a segmental duplication"	S	1085	1526	190
>YAR066W YAR066W SGDID:S000002144, Chr I from 221049-221660, Genome Release 64-2-1, Uncharacterized ORF, "Putative GPI protein; YAR066W has a paralog, YHR214W, that arose from a segmental duplication"	S	18	202	105
>YBL002W HTB2 SGDID:S000000098, Chr II from 236492-236887, Genome Release 64-2-1, Verified ORF, "Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation"	K	6	39	45
>YBL004W UTP20 SGDID:S000000100, Chr II from 227636-235117, Genome Release 64-2-1, Verified ORF, "Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA"	K	2434	2492	56
>YBL005W PDR3 SGDID:S000000101, Chr II from 217470-220400, Genome Release 64-2-1, Verified ORF, "Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate; PDR3 has a paralog, PDR1, that arose from the whole genome duplication"	S	856	943	53
>YBL005W-A YBL005W-A SGDID:S000002146, Chr II from 221330-222652, Genome Release 64-2-1, transposable_element_gene, "Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"	N	348	415	43
>YBL005W-A YBL005W-A SGDID:S000002146, Chr II from 221330-222652, Genome Release 64-2-1, transposable_element_gene, "Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"	S	2	167	42
>YBL005W-B YBL005W-B SGDID:S000002147, Chr II from 221330-222634,222636-226598, Genome Release 64-2-1, transposable_element_gene, "Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"	S	914	1203	100
>YBL005W-B YBL005W-B SGDID:S000002147, Chr II from 221330-222634,222636-226598, Genome Release 64-2-1, transposable_element_gene, "Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"	S	341	481	49
>YBL005W-B YBL005W-B SGDID:S000002147, Chr II from 221330-222634,222636-226598, Genome Release 64-2-1, transposable_element_gene, "Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"	S	2	167	42
>YBL007C SLA1 SGDID:S000000103, Chr II from 216366-212632, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"	S	419	851	69
>YBL007C SLA1 SGDID:S000000103, Chr II from 216366-212632, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"	E	569	619	61
>YBL007C SLA1 SGDID:S000000103, Chr II from 216366-212632, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"	N	224	279	51
>YBL007C SLA1 SGDID:S000000103, Chr II from 216366-212632, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"	Q	1143	1215	50
>YBL007C SLA1 SGDID:S000000103, Chr II from 216366-212632, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"	A	140	160	48
